GUID,Date (EST),URL,Contents,Author,Name,Country,State/Region,City/Urban Area,Category,Emotion,Source,Klout Score,Gender,Posts,Followers,Following
625407212467417092,7/26/2015 16:47,http://twitter.com/always_r5er/status/625407212467417092,RT @rikerR5 Cannot wait to get a pair of these new @Converse! #ChuckII,@always_r5er,Sara????er,,,,Purchase Intent,,Twitter,41,F,6088,225,222
625526569801396225,7/27/2015 0:42,http://twitter.com/ayobreezydizzy/status/625526569801396225,Is Julie endorsing converse while she's being sponsored by Vans? Orrr for Chuck II lang siya kakabilang bahay?,@ayobreezydizzy,S ??,Philippines,CALABARZON (Region IV-A),Manila,Value for money,,Twitter,41,,34128,761,241
627163289538162688,7/31/2015 13:05,http://twitter.com/Lindisaurus/status/627163289538162688,The new Converse Chuck IIs are comfier so far but as with the previous edition I fully expect to lose half a pint of blood wearing them in.,@Lindisaurus,Lindsay McDougall,United Kingdom,Eastern,Edinburgh,Off-topic,,Twitter,45,F,1596,209,302
626110851653705728,7/28/2015 15:23,http://twitter.com/TheSiFlyChannel/status/626110851653705728,RT @PKGM Gotta get the blue & white one immediately....for obvious reasons. LOL!! Then the all white one. #ChuckII,@TheSiFlyChannel,daCookieMane.,,,,Availability,,Twitter,50,,97256,1963,877
625936427830808576,7/28/2015 3:50,http://twitter.com/tiya_atisu/status/625936427830808576,Mag iipon ako para sa Chuck II ????????,@tiya_atisu,Thea Usita,Philippines,,,Value for money,,Twitter,42,F,44518,349,329
626097660311793664,7/28/2015 14:31,http://twitter.com/samhjarman/status/626097660311793664,going to have to get some of the new chucks #ChuckII,@samhjarman,Jarman,United Kingdom,South East,Oxford,Purchase Intent,,Twitter,38,,3643,406,215
627030945103638529,7/31/2015 4:20,http://twitter.com/ConverseID/status/627030945103638529,"Hey guys, who's got #ChuckII already? Come send us your pictures and get a chance to be featured here! Can't wait to see them! :)",@ConverseID,Converse Indonesia,Indonesia,,,Value for money,,Twitter,56,,4188,30581,269
626132786177515520,7/28/2015 16:51,http://twitter.com/MrNormal21/status/626132786177515520,Bientôt aux pieds mes jolies #ChuckII,@MrNormal21,Guillaume,France,Bourgogne,Dijon,Value for money,,Twitter,44,M,6962,188,283
626038726012076033,7/28/2015 10:37,http://twitter.com/mariolottide/status/626038726012076033,"Oh, un nuovo modello di converse!

 No niente, fanno comunque pena  #ChuckII",@mariolottide,Letizia,,,,Negative,,Twitter,30,F,57629,2685,177
627188288823160833,7/31/2015 14:45,http://twitter.com/SWSBatman/status/627188288823160833,"RT @JackSWS My @Converse Chuck II just showed up, it's the biggest game changer ever. So dope",@SWSBatman,Britt,,,,Value for money,,Twitter,,F,77675,6748,4323
625698178411704321,7/27/2015 12:04,http://twitter.com/geordiecaldwell/status/625698178411704321,@Converse #ChuckII in Lemonade???,@geordiecaldwell,Lauren Caldwell,,,,Purchase Intent,,Twitter,18,F,81,57,213
627310904703475712,7/31/2015 22:52,http://twitter.com/Chindogg21/status/627310904703475712,"Come on @Converse make some Green Lantern Chuck II's.

I need them.",@Chindogg21,BC|EnerJon,United States of America,Michigan,Flint,Value for money,,Twitter,62,,61818,910,843
625386236606316545,7/26/2015 15:24,http://twitter.com/chemical_x_15/status/625386236606316545,RT @rikerR5 Cannot wait to get a pair of these new @Converse! #ChuckII,@chemical_x_15,Chemical X,United States of America,,,Purchase Intent,,Twitter,29,,641,66,454
625903089648693248,7/28/2015 1:38,http://twitter.com/Mrauddy/status/625903089648693248,Kapan kebeli converse #ChuckII ya allah??,@Mrauddy,Raul,Indonesia,,,Look/Appearance,,Twitter,33,M,1888,59,58
626620942383366144,7/30/2015 1:10,http://twitter.com/crispwhitebitch/status/626620942383366144,@Erickk_o @danyellehessick Chuck II's will be better in both colors! Comfyness! ??,@crispwhitebitch,Cøurtney,,,,Value for money,,Twitter,45,F,529,652,436
625395864178171905,7/26/2015 16:02,http://twitter.com/dafreakriker/status/625395864178171905,RT @rikerR5 Cannot wait to get a pair of these new @Converse! #ChuckII,@dafreakriker,hannah.,,,,Purchase Intent,,Twitter,,F,38,21,70
625411907898462209,7/26/2015 17:06,http://twitter.com/Fra_Schizzo/status/625411907898462209,Ok Converse good marketing strategy now i'm so curious to see these Chuck II,@Fra_Schizzo,Francesca Schizzo,Italy,,,Purchase Intent,,Twitter,42,F,12442,500,297
626109998804832256,7/28/2015 15:20,http://twitter.com/NJoash/status/626109998804832256,#Tombrandy i have nothing to say about him #TheBachelorette #ChuckII #MTVHottest,@NJoash,JavaGuru,United States of America,Texas,Dallas,Purchase Intent,,Twitter,40,,4071,1016,1985
626102121012723712,7/28/2015 14:49,http://twitter.com/LordChristian__/status/626102121012723712,Buy me the Chuck II's ?? @kianastacy,@LordChristian__,Gatsby.,United States of America,,,Value for money,,Twitter,38,,134851,646,612
626033161332363264,7/28/2015 10:15,http://twitter.com/_alexisdeleon_/status/626033161332363264,Absolutely buying those #ChuckII ????,@_alexisdeleon_,Alexis Deleon ??,United States of America,California,,Purchase Intent,,Twitter,21,M,2400,275,89
625988104919322624,7/28/2015 7:16,http://twitter.com/stephanieswain2/status/625988104919322624,The new converse are perfect ?? #ChuckII,@stephanieswain2,Stephanie Swain,United States of America,,,Look/Appearance,,Twitter,29,F,4796,415,831
625736318274801664,7/27/2015 14:35,http://twitter.com/MajorCulture/status/625736318274801664,Anyone care to explain whats new on the @Converse #ChuckII ?,@MajorCulture,Major Culture,,,,Purchase Intent,,Twitter,43,M,777,130,247
625541118143406080,7/27/2015 1:39,http://twitter.com/strongforjoseph/status/625541118143406080,RT @rikerR5 Cannot wait to get a pair of these new @Converse! #ChuckII,@strongforjoseph,@strongforjoseph,,,,Purchase Intent,,Twitter,47,,133182,3323,3233
625390185874894852,7/26/2015 15:40,http://twitter.com/IngrydLynch/status/625390185874894852,RT @rikerR5 Cannot wait to get a pair of these new @Converse! #ChuckII,@IngrydLynch,São Paulo-Brazil ,Brazil,São Paulo,Sao Paulo,Purchase Intent,,Twitter,17,,1470,40,175
625385401407172608,7/26/2015 15:21,http://twitter.com/samnicole2001/status/625385401407172608,RT @rikerR5 Cannot wait to get a pair of these new @Converse! #ChuckII,@samnicole2001,\\Sam//,,,,Purchase Intent,,Twitter,40,M,21070,313,823
626130093186756608,7/28/2015 16:40,http://twitter.com/SmellyYomon/status/626130093186756608,"Hmm... wait for black Chuck IIs to be in stock, or settle on white ones.",@SmellyYomon,s???? ?????????,United States of America,California,,Availability,,Twitter,42,,14915,306,459
625470226918952960,7/26/2015 20:58,http://twitter.com/diduhaveurfunx/status/625470226918952960,RT @rikerR5 Cannot wait to get a pair of these new @Converse! #ChuckII,@diduhaveurfunx,sofi ,Argentina,Ciudad de Buenos Aires,Buenos Aires,Purchase Intent,,Twitter,,F,179786,2425,297
625385180681883648,7/26/2015 15:20,http://twitter.com/AbbySchwedhelm/status/625385180681883648,RT @rikerR5 Cannot wait to get a pair of these new @Converse! #ChuckII,@AbbySchwedhelm,Abby,United States of America,Louisiana,Slidell,Purchase Intent,,Twitter,22,F,2190,121,78
625385057503584256,7/26/2015 15:19,http://twitter.com/kimy_r5er/status/625385057503584256,RT @rikerR5 Cannot wait to get a pair of these new @Converse! #ChuckII,@kimy_r5er,Smile-R5,,,,Purchase Intent,,Twitter,,,192,10,33
625623154292039680,7/27/2015 7:05,http://twitter.com/ilovepewdsxox/status/625623154292039680,RT @Kyle_JSimmons @bastilledan you seen the new @Converse #ChuckII ?? They are quite glorious.,@ilovepewdsxox,K?DEE??MUSIC,United States of America,,,Availability,,Twitter,43,,9468,777,1198
626026460021559296,7/28/2015 9:48,http://twitter.com/MetalGWorld/status/626026460021559296,"Hi @NamshiDotCom, do you plan to have ""The #ChuckII All Star"" any time soon?",@MetalGWorld,Megren S. AlSakran,Saudi Arabia,Ar Riyad,Riyadh,Availability,,Twitter,17,,305,42,162
626753349015224320,7/30/2015 9:56,http://twitter.com/NatalieRebera/status/626753349015224320,Why are they recommending to go up a size when you buy the #ChuckII ? Don't get why ???? @Converse @schuh,@NatalieRebera,Natalie Rebera,United Kingdom,South East,Portsmouth,Positive,,Twitter,28,F,728,70,178
626121321403973632,7/28/2015 16:05,http://twitter.com/theminxyone/status/626121321403973632,"Love that my search ""Chuck II UK"" came back with a link to Charles II King Of England. We're so hip! #ChuckII #Majesty",@theminxyone,Tabitha,United Kingdom,South East,Portsmouth,Availability,,Twitter,29,F,3276,84,360
625398316889731072,7/26/2015 16:12,http://twitter.com/milagros_lynch/status/625398316889731072,RT @rikerR5 Cannot wait to get a pair of these new @Converse! #ChuckII,@milagros_lynch,Milagros Gonza,United States of America,,,Purchase Intent,,Twitter,34,F,5776,775,1636
625395942150180864,7/26/2015 16:03,http://twitter.com/CShamilov/status/625395942150180864,RT @rikerR5 Cannot wait to get a pair of these new @Converse! #ChuckII,@CShamilov,Chani Shamilov ,,,,Purchase Intent,,Twitter,25,,1100,41,267
625835664379019264,7/27/2015 21:10,http://twitter.com/kylyfe/status/625835664379019264,THE CHUCK II'S COME OUT TOMORROW ????,@kylyfe,Kiele Felker,United States of America,,,Value for money,,Twitter,42,,980,895,338
625386293728514049,7/26/2015 15:24,http://twitter.com/Fran_pauliteR5/status/625386293728514049,RT @rikerR5 Cannot wait to get a pair of these new @Converse! #ChuckII,@Fran_pauliteR5,Francesca ?,Argentina,Santa Fe,Rosario,Purchase Intent,,Twitter,38,F,7173,494,1643
625385232712269824,7/26/2015 15:20,http://twitter.com/MariaEsperanz53/status/625385232712269824,RT @rikerR5 Cannot wait to get a pair of these new @Converse! #ChuckII,@MariaEsperanz53,Maria_R5ers,Colombia,Bogota,Bogota,Purchase Intent,,Twitter,30,F,3444,325,1999
625020196403736576,7/25/2015 15:10,http://twitter.com/icecxve/status/625020196403736576,I want some of the new Converse Chuck II's tbh,@icecxve,tay,United Kingdom,North West,Manchester,Value for money,,Twitter,48,,67171,2001,462
625385053288308736,7/26/2015 15:19,http://twitter.com/Mar5Maria/status/625385053288308736,RT @rikerR5 Cannot wait to get a pair of these new @Converse! #ChuckII,@Mar5Maria,Maria?,,,,Purchase Intent,,Twitter,44,F,13323,1021,1867
625388322882486272,7/26/2015 15:32,http://twitter.com/Strongxlouis_/status/625388322882486272,RT @rikerR5 Cannot wait to get a pair of these new @Converse! #ChuckII,@Strongxlouis_,Cinco años |Cande,Argentina,Ciudad de Buenos Aires,Buenos Aires,Purchase Intent,,Twitter,37,,6728,561,408
627188390656614400,7/31/2015 14:45,http://twitter.com/lary_horizon/status/627188390656614400,"RT @JackSWS My @Converse Chuck II just showed up, it's the biggest game changer ever. So dope",@lary_horizon,•LALY•,Brazil,,,Value for money,,Twitter,33,,2754,994,1185
625471663044296705,7/26/2015 21:03,http://twitter.com/VictoriaaaR5/status/625471663044296705,RT @rikerR5 Cannot wait to get a pair of these new @Converse! #ChuckII,@VictoriaaaR5,?Victoria?,Mexico,Distrito Federal,Mexico City,Purchase Intent,,Twitter,29,F,12972,360,707
625676567331540992,7/27/2015 10:38,http://twitter.com/ejflores_/status/625676567331540992,chuck II,@ejflores_,ej,South Korea,Seoul,Seoul,Value for money,,Twitter,45,,88888,1639,776
625985632112803840,7/28/2015 7:06,http://twitter.com/thecarlomagtaas/status/625985632112803840,Gusto ko yung all black! ?? #ChuckII,@thecarlomagtaas,Juan Carlo,,,,Purchase Intent,,Twitter,41,M,25840,439,303
627189573530030080,7/31/2015 14:50,http://twitter.com/nicolassaadjian/status/627189573530030080,"RT @JackSWS My @Converse Chuck II just showed up, it's the biggest game changer ever. So dope",@nicolassaadjian,Nico Saadjian ,,,,Value for money,,Twitter,41,M,27374,256,227
625385100029632513,7/26/2015 15:20,http://twitter.com/canny_99/status/625385100029632513,RT @rikerR5 Cannot wait to get a pair of these new @Converse! #ChuckII,@canny_99,R5...the best!!,Italy,,,Purchase Intent,,Twitter,27,,7199,547,1998
626109343038074880,7/28/2015 15:17,http://twitter.com/yayswagent/status/626109343038074880,@yayswagent #TheBachelorette #TheBachelorette #ChuckII #MTVHottest #KevinGatesKnoOne #OfficalVideo,@yayswagent,AliGold STL,United States of America,Missouri,,Purchase Intent,,Twitter,26,,7161,748,2000
625659276439240708,7/27/2015 9:29,http://twitter.com/xthedraw/status/625659276439240708,RT @Kyle_JSimmons @bastilledan you seen the new @Converse #ChuckII ?? They are quite glorious.,@xthedraw,hannibolla ,,,,Purchase Intent,,Twitter,31,,6749,204,127
625425856807112705,7/26/2015 18:01,http://twitter.com/karlasilvaruiz/status/625425856807112705,RT @rikerR5 Cannot wait to get a pair of these new @Converse! #ChuckII,@karlasilvaruiz,?Karla Silva?,,,,Purchase Intent,,Twitter,20,F,1297,86,88
626137932609527810,7/28/2015 17:11,http://twitter.com/LawlietKM/status/626137932609527810,Waaa #ChuckII ??,@LawlietKM,Lawliet,France,Bretagne,,Purchase Intent,,Twitter,50,,20504,2153,486
626284871850176512,7/29/2015 2:55,http://twitter.com/its_Ja9/status/626284871850176512,RT @JAdikz Pictures ni Julie sa China nung Chuck II launch? Follow @IAmJeffreyOsoc !! ??,@its_Ja9,Janayn?,Philippines,National Capital Region,Manila,Value for money,,Twitter,29,,6863,143,156
626318450386931712,7/29/2015 5:08,http://twitter.com/JAPS_RockOn/status/626318450386931712,RT @erickamacarayo RT @TheEdwardBelaro: Proud to be #TeamConversePH #ConversePH #ChuckII :),@JAPS_RockOn,JAPS RockOn,Philippines,National Capital Region,Manila,Availability,,Twitter,52,,16240,797,251
625387082756829184,7/26/2015 15:27,http://twitter.com/lya_r5/status/625387082756829184,RT @rikerR5 Cannot wait to get a pair of these new @Converse! #ChuckII,@lya_r5,Rulitos Lynch,Brazil,,,Purchase Intent,,Twitter,36,,5117,1701,1995
625385451386470401,7/26/2015 15:21,http://twitter.com/britney52683/status/625385451386470401,RT @rikerR5 Cannot wait to get a pair of these new @Converse! #ChuckII,@britney52683,??????? ,United States of America,New York,New York,Purchase Intent,,Twitter,16,,1136,65,139
626137667923804160,7/28/2015 17:10,http://twitter.com/RobWitton/status/626137667923804160,After having a nosy today I definitely want a pair of  #ChuckII .... Preferably in blue ??,@RobWitton,Rob Witton,United Kingdom,Yorkshire and the Humber,Sheffield,Purchase Intent,,Twitter,26,M,3054,191,871
626405843332956161,7/29/2015 10:56,http://twitter.com/bongtai/status/626405843332956161,Converse Chuck II ???????????,@bongtai,?????,Thailand,Central,Bangkok,Value for money,,Twitter,52,,92047,10739,719
626045715999952897,7/28/2015 11:05,http://twitter.com/Gillen__Anne/status/626045715999952897,#ChuckII soon! ?????,@Gillen__Anne,Gillen Anne Lazareto,,,,Purchase Intent,,Twitter,34,F,7213,324,192
626242167669784576,7/29/2015 0:05,http://twitter.com/Albert_Vee/status/626242167669784576,"Hey #ChuckTaylor #TaylorGang, does the #ChuckII fit the same as OG Chucks? Size up? Size down?",@Albert_Vee,Albert V.,United States of America,,,Value for money,,Twitter,16,M,1167,52,100
624902383546552320,7/25/2015 7:21,http://twitter.com/MonoDomingo/status/624902383546552320,I need me hella pairs of them Chuck II's.,@MonoDomingo,G,,,,Value for money,,Twitter,37,,5210,308,717
627120817554489345,7/31/2015 10:17,http://twitter.com/FallenForCam/status/627120817554489345,MEU DEUS O CHUCK II CHEGA NO BRASEL 1o DE SETEMBRO EU VOU DORMIR NA FRENTE DAS LOJAS,@FallenForCam,real life ninja,,,,Value for money,,Twitter,36,,41479,711,359
625058674415923200,7/25/2015 17:42,http://twitter.com/dbowe44/status/625058674415923200,"I wouldn't mind copping the Chuck II lows in black, blue, or red. That Lunarlon insole is worth the price bump alone.",@dbowe44,Derek B. ?,United States of America,,,Value for money,,Twitter,42,M,97400,747,368
625385077808173056,7/26/2015 15:19,http://twitter.com/AlmondChristian/status/625385077808173056,RT @rikerR5 Cannot wait to get a pair of these new @Converse! #ChuckII,@AlmondChristian,Christian AlmondR5,,,,Purchase Intent,,Twitter,34,M,1673,81,211
625902437958692864,7/28/2015 1:35,http://twitter.com/BenLashes/status/625902437958692864,@Converse Why isn't the #ChuckII available bigger than 13??? Why do you always do this?!?,@BenLashes,Ben Lashes,,,,Value for money,,Twitter,45,M,3277,4257,1081
625594439352750080,7/27/2015 5:11,http://twitter.com/ayobreezydizzy/status/625594439352750080,"@OwenAquino Converse's Chuck II event, launching ata ??",@ayobreezydizzy,S ??,Philippines,CALABARZON (Region IV-A),Manila,Value for money,,Twitter,41,,34141,761,241
625369304570175488,7/26/2015 14:17,http://twitter.com/iriseeee_/status/625369304570175488,The new chuck Taylor's ?????? #ChuckII,@iriseeee_,iris,,,,Purchase Intent,,Twitter,13,F,525,46,27
625402261460520960,7/26/2015 16:28,http://twitter.com/selenaavila99/status/625402261460520960,RT @rikerR5 Cannot wait to get a pair of these new @Converse! #ChuckII,@selenaavila99,Selena Avila,United States of America,,,Purchase Intent,,Twitter,13,F,339,20,36
625381874966237184,7/26/2015 15:07,http://twitter.com/SidewalkHustle/status/625381874966237184,@KingRicharding Nice!! I'm glad we converted you! #ChuckII,@SidewalkHustle,Sidewalk Hustle,United States of America,,,Purchase Intent,,Twitter,71,,53452,43263,2932
625953485578612737,7/28/2015 4:58,http://twitter.com/chik_chak/status/625953485578612737,#ChuckII ??,@chik_chak,Chak Quijano,,,,Purchase Intent,,Twitter,41,,27516,322,392
625938699428085760,7/28/2015 3:59,http://twitter.com/cyrilleordas/status/625938699428085760,i badly want converse chuck II??,@cyrilleordas,Cyrille,,,,Value for money,,Twitter,36,M,9292,227,113
627154976222113792,7/31/2015 12:32,http://twitter.com/DannyJoline/status/627154976222113792,"RT @JackSWS My @Converse Chuck II just showed up, it's the biggest game changer ever. So dope",@DannyJoline,Danny ?,Germany,,,Value for money,,Twitter,44,M,37516,1191,862
626773225863819264,7/30/2015 11:15,http://twitter.com/sleepnclass/status/626773225863819264,RT @SavedYouAClick Shoes. RT @Gizmodo: What it's like to wear the new Converse Chuck II,@sleepnclass,I'm Andy ? ,United States of America,,,Value for money,,Twitter,,M,78715,470,641
626123411014746116,7/28/2015 16:13,http://twitter.com/NeRojas213/status/626123411014746116,¿Vieron lo de los #ChuckII de @conversecol ? Yo quiero :),@NeRojas213,Nicolás,Colombia,Bogota,Bogota,Availability,,Twitter,28,M,15112,113,297
626234112546725888,7/28/2015 23:33,http://twitter.com/cataleenuh13/status/626234112546725888,"So excited for the new converse! After 98 years , chucks finally get an upgrade?????? #ChuckII",@cataleenuh13,Catalina Martinez,United States of America,California,,Availability,,Twitter,28,F,399,204,265
625389436407144449,7/26/2015 15:37,http://twitter.com/bere01_rosser/status/625389436407144449,RT @rikerR5 Cannot wait to get a pair of these new @Converse! #ChuckII,@bere01_rosser,Nayeli ,United States of America,,,Purchase Intent,,Twitter,46,F,21223,1708,1700
625994379149205504,7/28/2015 7:41,http://twitter.com/mikes41720/status/625994379149205504,Was able to get a look at the Chuck II. Lunarlon is no joke! It's a nice update to a classic.,@mikes41720,Michael Brian Tiña,Philippines,Central Visayas (Region VII),Cebu,Value for money,,Twitter,28,M,33303,390,308
626377841471393793,7/29/2015 9:04,http://twitter.com/briellelith/status/626377841471393793,#ChuckII,@briellelith,??,,,,Purchase Intent,,Twitter,29,,14575,158,185
625385053862916096,7/26/2015 15:19,http://twitter.com/kcrox1414/status/625385053862916096,RT @rikerR5 Cannot wait to get a pair of these new @Converse! #ChuckII,@kcrox1414,Kaycie Mowen,,,,Purchase Intent,,Twitter,17,,24,31,68
626054915249557505,7/28/2015 11:41,http://twitter.com/bcmftR5/status/626054915249557505,RT @rikerR5 Cannot wait to get a pair of these new @Converse! #ChuckII,@bcmftR5,malena ,Argentina,,,Purchase Intent,,Twitter,45,F,27060,818,697
626288443832713216,7/29/2015 3:09,http://twitter.com/kandie_addict/status/626288443832713216,#Do I want the #ChuckII??? I love the classics but wonder Wut kind of discount I get lol.,@kandie_addict,Candy,United States of America,California,Los Angeles,Purchase Intent,,Twitter,26,F,18187,223,471
626315982810681344,7/29/2015 4:59,http://twitter.com/JAdikz/status/626315982810681344,RT @emerald_202 W-aaahhhh gusto ko na rin ng #ChuckII yun blue ??   #TeamConversePH,@JAdikz,JAdikz Official,,,,Purchase Intent,,Twitter,60,,17155,6851,138
625386477057241088,7/26/2015 15:25,http://twitter.com/marii_roser/status/625386477057241088,RT @rikerR5 Cannot wait to get a pair of these new @Converse! #ChuckII,@marii_roser,Marii Rosser MB  ?,United States of America,California,Los Angeles,Purchase Intent,,Twitter,22,F,235,362,915
626357102080995328,7/29/2015 7:42,http://twitter.com/shonenlex/status/626357102080995328,oh yea #ChuckII,@shonenlex,Lex,,,,Purchase Intent,,Twitter,25,M,2592,67,298
626772693002645504,7/30/2015 11:13,http://twitter.com/protocollie/status/626772693002645504,RT @SavedYouAClick Shoes. RT @Gizmodo: What it's like to wear the new Converse Chuck II,@protocollie,Gavin Fun,United States of America,Pennsylvania,Philadelphia,Value for money,,Twitter,48,M,65472,1718,779
626034494844338176,7/28/2015 10:20,http://twitter.com/usernameotis/status/626034494844338176,i want a pair of the Chuck2s too,@usernameotis, ?????,United Kingdom,,,Value for money,,Twitter,18,M,18573,799,500
625405806700326912,7/26/2015 16:42,http://twitter.com/SSararomero/status/625405806700326912,RT @rikerR5 Cannot wait to get a pair of these new @Converse! #ChuckII,@SSararomero,vanessa romero,,,,Purchase Intent,,Twitter,44,F,85841,848,542
625385407379841025,7/26/2015 15:21,http://twitter.com/nicollR5/status/625385407379841025,RT @rikerR5 Cannot wait to get a pair of these new @Converse! #ChuckII,@nicollR5,Nicole Naso *-*,,,,Purchase Intent,,Twitter,36,F,5831,1271,1727
625852310351122432,7/27/2015 22:16,http://twitter.com/ChefBoyarT_/status/625852310351122432,1h 45m till the #ChuckII ??,@ChefBoyarT_,thømåš,United States of America,,,Look/Appearance,,Twitter,34,M,22467,379,238
625937389542731776,7/28/2015 3:54,http://twitter.com/CHARLIEPUTHsFAN/status/625937389542731776,i want. #ChuckII,@CHARLIEPUTHsFAN,FollowMeCharlie,Philippines,National Capital Region,Manila,Purchase Intent,,Twitter,35,,953,267,689
626070378939441152,7/28/2015 12:43,http://twitter.com/Jo_Maybe/status/626070378939441152,Buy me a blue pair of Converse Chuck II and call me Beyoncé,@Jo_Maybe,YAS??? HAM???,,,,Availability,,Twitter,51,,34221,794,295
627118566047895552,7/31/2015 10:08,http://twitter.com/LaRacaille_/status/627118566047895552,S'cusez moi mais elles ont quoi de nouveau les nouvelles Converses ? #ChuckII,@LaRacaille_,Didozz_18.000carats,United States of America,,,Availability,,Twitter,14,,2411,84,181
625664216603557888,7/27/2015 9:49,http://twitter.com/TeamAklan/status/625664216603557888,@hypoLights haha kalma ang puso. baka tulog pa yun eh. ?? read between the lines nalang daw. kaya nagpost ng #CHUCKII last time. ??,@TeamAklan,Team Aklan,,,,Look/Appearance,,Twitter,20,,4321,79,98
625386152254644224,7/26/2015 15:24,http://twitter.com/valen_lynch/status/625386152254644224,RT @rikerR5 Cannot wait to get a pair of these new @Converse! #ChuckII,@valen_lynch,bianca lynch,,,,Purchase Intent,,Twitter,18,F,325,65,68
625509082934456321,7/26/2015 23:32,http://twitter.com/_Abrilr5/status/625509082934456321,RT @rikerR5 Cannot wait to get a pair of these new @Converse! #ChuckII,@_Abrilr5,Abri,Mexico,Distrito Federal,Mexico City,Purchase Intent,,Twitter,41,,2886,133,116
625385213523292160,7/26/2015 15:20,http://twitter.com/rossr5family29/status/625385213523292160,RT @rikerR5 Cannot wait to get a pair of these new @Converse! #ChuckII,@rossr5family29,Rey's Wild Heart,,,,Purchase Intent,,Twitter,45,,2274,481,440
626037397545836544,7/28/2015 10:32,http://twitter.com/jeromeerwin/status/626037397545836544,I want Chuck II ??,@jeromeerwin,Erwin Aguilar,,,,Value for money,,Twitter,26,M,6952,49,53
625446448658825216,7/26/2015 19:23,http://twitter.com/denise_gR5/status/625446448658825216,RT @rikerR5 Cannot wait to get a pair of these new @Converse! #ChuckII,@denise_gR5,Denise Garcia,,,,Purchase Intent,,Twitter,19,F,901,58,62
625385049765097472,7/26/2015 15:19,http://twitter.com/anais_badgirls/status/625385049765097472,RT @rikerR5 Cannot wait to get a pair of these new @Converse! #ChuckII,@anais_badgirls,Anaïs Rodriguez,France,Languedoc-Roussillon,Montpellier,Purchase Intent,,Twitter,41,F,1020,1647,1962
625385058212421632,7/26/2015 15:19,http://twitter.com/beamyross/status/625385058212421632,RT @rikerR5 Cannot wait to get a pair of these new @Converse! #ChuckII,@beamyross,bea 5,,,,Purchase Intent,,Twitter,55,F,152667,10860,113
627147752598802432,7/31/2015 12:04,http://twitter.com/Sonia_LlanosLBS/status/627147752598802432,"RT @JackSWS My @Converse Chuck II just showed up, it's the biggest game changer ever. So dope",@Sonia_LlanosLBS,Sleeping With Sirens,,,,Value for money,,Twitter,43,,38789,1573,993
625873098294886400,7/27/2015 23:39,http://twitter.com/ouratliff/status/625873098294886400,RT @rikerR5 Cannot wait to get a pair of these new @Converse! #ChuckII,@ouratliff,bruna ,,,,Purchase Intent,,Twitter,39,F,5360,418,992
626185377091432449,7/28/2015 20:20,http://twitter.com/JieeeAnne/status/626185377091432449,RT @JuliElmo_101 Didn't expect the price would be double to the original classic chucks price. okay ipon mode?? Hi-cut cost $75 while $70 for low cut #ChuckII,@JieeeAnne,Jordan Anne. ××,,,,Value for money,,Twitter,43,M,9610,270,689
